timestamp,open,high,low,close,volume
2017-04-19,43.0300,43.4700,42.9000,43.3000,4913855
2017-04-18,43.2000,43.2000,42.8600,43.0900,3711648
2017-04-17,42.6000,43.1400,42.6000,43.1000,3151602
2017-04-13,42.5000,42.8900,42.3200,42.5500,3631442
2017-04-12,42.1000,42.8100,42.0600,42.4900,5800144
2017-04-11,42.9900,43.0900,42.6100,42.6900,4856260
2017-04-10,43.0700,43.5500,43.0100,43.0500,4579501
2017-04-07,42.8900,43.1750,42.7100,43.0400,4861189
2017-04-06,42.9000,43.0000,42.7200,42.9000,5395420
2017-04-05,42.8300,43.3430,42.7400,42.8900,5292287
2017-04-04,42.7400,42.7400,42.2600,42.7200,4681835
2017-04-03,43.2000,43.3000,42.5100,42.6300,7772986
2017-03-31,43.4400,43.4800,43.0100,43.0200,5177925
2017-03-30,43.1500,43.8000,43.0000,43.5400,5691682
2017-03-29,43.1500,43.3000,42.9600,43.2400,3951121
2017-03-28,42.8700,43.2500,42.8400,43.1500,4396544
2017-03-27,42.6900,43.2000,42.5800,43.0800,3850321
2017-03-24,43.4800,43.4950,42.9350,43.1300,5739538
2017-03-23,43.1300,43.6100,43.0000,43.1400,7176360
2017-03-22,42.5950,43.2400,42.4500,43.1900,6513341
2017-03-21,43.3300,43.4000,42.4600,42.6400,7838436
2017-03-20,43.1000,43.3200,42.8100,43.1600,6686901
2017-03-17,42.5700,43.3000,42.3700,43.0800,12309652
2017-03-16,42.5000,42.5800,42.1400,42.4000,3998562
2017-03-15,42.2900,42.5700,41.8900,42.3900,4291806
2017-03-14,42.5100,42.6400,41.7400,42.1000,5888061
2017-03-13,42.8700,42.9650,42.4500,42.5900,5527468
2017-03-10,43.1900,43.2800,42.7600,42.9900,4636199
2017-03-09,42.6600,43.0000,42.4500,42.9200,3487918
2017-03-08,42.8400,43.1800,42.7200,42.7900,4573934
2017-03-07,42.8000,43.2000,42.7100,42.8900,4404707
2017-03-06,42.9800,43.0300,42.6300,42.8700,6032844
2017-03-03,42.7000,43.0400,42.5800,43.0300,4214435
2017-03-02,42.4000,42.8600,42.2000,42.7700,4572587
2017-03-01,42.3100,42.5200,41.9900,42.4300,6003750
2017-02-28,42.4900,42.4900,41.9900,42.0000,6956821
2017-02-27,42.8900,42.8900,42.3500,42.6400,5026742
2017-02-24,42.1100,43.0700,41.8300,43.0700,6769528
2017-02-23,42.3700,42.6700,42.1600,42.5300,5456296
2017-02-22,42.3000,42.5300,42.1200,42.4200,4316768
2017-02-21,41.9300,42.5600,41.9000,42.4300,5874724
2017-02-17,41.9200,42.3000,41.8000,41.9600,5106063
2017-02-16,41.8700,42.3100,41.7000,42.1500,5730802
2017-02-15,41.6900,41.9300,41.2700,41.8700,7124617
2017-02-14,41.1800,41.6300,40.9400,41.6200,6496404
2017-02-13,40.8300,41.3000,40.7400,41.1700,6260907
2017-02-10,40.8200,40.8600,40.5600,40.5800,6248231
2017-02-09,40.4400,40.9950,40.3000,40.8300,6467576
2017-02-08,40.1800,40.9900,39.9200,40.8800,7398987
2017-02-07,40.0100,40.3400,39.7000,40.0200,7956319
2017-02-06,39.6400,39.8300,39.3400,39.7400,8206410
2017-02-03,39.7900,39.9300,39.5500,39.5900,7131059
2017-02-02,39.4000,39.8400,39.0200,39.5800,8736786
2017-02-01,39.9600,40.0000,39.1100,39.3100,8860416
2017-01-31,39.7000,40.0100,39.4500,39.7800,9100057
2017-01-30,40.1700,40.2700,39.4200,39.8600,11486023
2017-01-27,41.0000,41.2000,39.9200,40.2700,22749197
2017-01-26,42.3600,42.5000,41.2850,41.5000,11838127
2017-01-25,42.3600,42.4400,41.6600,41.7100,9253596
2017-01-24,41.9500,42.0400,41.5300,41.9600,6107190
2017-01-23,41.8600,42.1100,41.2500,41.6200,8497050
2017-01-20,41.3900,41.7200,41.3000,41.6900,6868514
2017-01-19,41.2500,41.6800,41.0300,41.2700,4718177
2017-01-18,41.4100,41.4900,41.1100,41.3500,4706020
2017-01-17,41.6000,41.7100,41.2000,41.2700,5932904
2017-01-13,41.6500,41.8400,41.5300,41.6000,3917699
2017-01-12,41.2800,41.6052,40.9200,41.5600,3840529
2017-01-11,41.2300,41.3800,40.8350,41.2800,4425295
2017-01-10,41.4000,41.5500,41.0700,41.0800,4174906
2017-01-09,41.4900,41.5100,41.1100,41.4000,3943868
2017-01-06,41.2400,41.6400,40.7900,41.4500,5586404
2017-01-05,41.4300,41.7200,41.0399,41.0600,6431957
2017-01-04,40.3500,41.0300,40.0450,41.0000,6806386
2017-01-03,40.2900,40.9800,40.0000,40.2500,8247354
2016-12-30,39.9600,40.0700,39.3400,39.4700,5012053
2016-12-29,39.5400,40.1700,39.5400,39.9600,3707957
2016-12-28,39.7600,40.0300,39.5300,39.5700,3292367
2016-12-27,39.5000,40.0800,39.4300,39.7200,2660152
2016-12-23,39.8200,39.8700,39.4800,39.5800,3379149
2016-12-22,40.0400,40.0900,39.5400,39.6800,5064974
2016-12-21,39.8400,40.7400,39.8200,40.0900,6768561
2016-12-20,39.6100,39.7400,39.2600,39.7400,3637161
2016-12-19,39.4000,39.8000,39.1100,39.4400,4268583
2016-12-16,39.9000,39.9000,39.1200,39.3200,9786253
2016-12-15,39.8000,40.2900,39.3500,39.5400,6418929
2016-12-14,39.4600,39.8900,39.4600,39.5500,4658726
2016-12-13,39.5500,39.7450,39.3900,39.4300,6385892
2016-12-12,39.6000,39.9000,39.3500,39.4300,4474526
2016-12-09,39.7000,39.7900,39.3750,39.6500,3923741
2016-12-08,39.6800,40.0000,39.4500,39.6100,6102590
2016-12-07,39.0800,39.4600,38.8000,39.4500,7012032
2016-12-06,39.2300,39.2600,38.7100,38.9800,5954455
2016-12-05,38.8500,39.3400,38.6500,38.9900,5053862
2016-12-02,38.3400,38.7500,38.0600,38.6200,6335151
2016-12-01,39.5600,39.6800,38.1800,38.3400,11265567
2016-11-30,40.1000,40.1800,39.1800,39.2800,8420727
2016-11-29,40.0700,40.3600,39.7900,39.8900,5083663
2016-11-28,40.2600,40.4900,39.9250,39.9600,4170587
2016-11-25,40.4000,40.5600,39.9900,40.2600,2324478
2016-11-23,40.3100,40.4300,39.8500,40.0500,5770587
2016-11-22,40.9900,41.1000,39.9500,40.3300,7734699
2016-11-21,40.1200,40.7700,40.1155,40.6300,6667226
2016-11-18,40.0800,40.5700,39.9100,40.0800,9521525
2016-11-17,39.1200,40.0550,38.9500,39.8800,9758539
2016-11-16,39.0500,39.2100,38.7100,39.0700,12730896
2016-11-15,39.0400,39.4800,38.9000,38.9400,16038229
2016-11-14,40.4000,40.4000,38.4500,38.8100,17877790
2016-11-11,40.7700,40.7700,39.8000,40.0800,10776524
2016-11-10,41.9000,41.9000,39.5800,40.4500,12097577
2016-11-09,40.6000,41.4700,40.5800,41.2600,9744400
2016-11-08,41.4200,42.1500,41.0900,41.5800,6968107
2016-11-07,41.5200,41.6500,41.0600,41.2800,7904865
2016-11-04,40.3000,41.4850,40.3000,40.9000,6541343
2016-11-03,41.3200,41.5000,40.9200,41.1900,6239903
2016-11-02,41.4300,41.5700,41.0800,41.3500,7947621
2016-11-01,41.6800,42.2950,41.2900,41.5400,9398950
2016-10-31,41.7800,42.0000,41.3600,41.6600,7159986
2016-10-28,41.9800,41.9800,41.0700,41.7600,11979238
2016-10-27,42.5500,42.5700,41.6210,41.6900,9447256
2016-10-26,43.0000,43.2100,42.3100,42.3300,10918791
2016-10-25,43.6600,44.0700,43.0000,43.3100,9463932
2016-10-24,44.0000,44.5200,43.1400,43.8700,19079031
2016-10-21,41.8500,44.2400,41.8400,44.1500,37554668
2016-10-20,40.2300,40.2900,39.8200,40.0900,13337494
2016-10-19,39.9700,40.4700,39.8400,40.2400,6587733
2016-10-18,40.0000,40.1800,39.7800,39.8300,5475850
2016-10-17,39.2400,39.6200,39.1600,39.4800,5279515
2016-10-14,39.4600,39.8900,39.2300,39.2400,6647595
2016-10-13,39.3900,39.4000,38.7500,39.2000,7865587
2016-10-12,39.7700,39.8000,39.3000,39.5300,7039942
2016-10-11,40.0300,40.1100,38.9600,39.1900,9955667
2016-10-10,40.1300,40.1700,39.5900,39.8600,6636680
2016-10-07,40.4200,40.4200,39.6200,39.8800,6109946
2016-10-06,40.3200,40.3900,39.8600,40.1800,6312037
2016-10-05,40.9500,40.9500,40.4000,40.4400,6128205
2016-10-04,41.3000,41.3000,40.4400,40.7800,5046632
2016-10-03,40.8700,41.2000,40.1600,40.5900,6924977
2016-09-30,40.2900,41.0500,40.2700,40.9700,8685607
2016-09-29,40.9100,41.3000,40.3600,40.3900,7953014
2016-09-28,41.1500,41.1900,40.2100,40.9700,6751179
2016-09-27,40.0400,41.2300,39.4900,41.0600,8674079
2016-09-26,39.3800,40.5100,39.3800,40.3400,9054362
2016-09-23,39.6000,40.4950,39.6000,40.0700,6234613
2016-09-22,40.4200,40.6600,40.1400,40.4900,5691048
2016-09-21,39.8600,40.3900,39.7000,40.2900,5378400
2016-09-20,40.3000,40.3000,39.6700,39.6900,5563314
2016-09-19,40.2400,40.4600,39.7500,40.0100,7574483
2016-09-16,40.7100,40.8800,40.3248,40.7000,11909449
2016-09-15,40.3100,41.1400,39.8699,40.8300,12720951
2016-09-14,39.9900,40.2800,39.5300,39.9600,13062293
2016-09-13,38.6200,40.3300,38.4100,39.8600,17924853
2016-09-12,37.6500,38.8400,37.5401,38.7700,8635027
2016-09-09,38.7500,39.0200,37.9100,38.0100,10747079
2016-09-08,38.6500,39.3300,38.5007,39.2700,12037292
2016-09-07,37.3300,38.5800,37.2600,38.5600,10817701
2016-09-06,37.0500,37.6500,37.0200,37.1800,6416930
2016-09-02,37.0100,37.1250,36.3000,37.0700,6726906
2016-09-01,37.2700,37.3200,36.5800,36.8300,10412233
2016-08-31,37.0000,37.2400,36.8400,37.1500,7166276
2016-08-30,37.2600,37.5200,36.9850,37.0000,6873648
2016-08-29,37.6100,37.6500,37.2700,37.2900,4780712
2016-08-26,37.7200,37.8400,37.3800,37.6500,4177726
2016-08-25,37.5000,37.5700,37.2500,37.5100,5132089
2016-08-24,37.8100,37.9500,37.4100,37.5200,5914176
2016-08-23,38.4200,38.4300,37.8000,37.8600,6066416
2016-08-22,37.9300,38.2000,37.6600,38.1100,10704362
2016-08-19,38.0200,38.1800,37.8950,38.0900,5107878
2016-08-18,38.0700,38.3750,37.9300,38.2200,3881084
2016-08-17,38.4100,38.4600,37.8800,38.1400,5263987
2016-08-16,38.4000,38.5300,38.1500,38.3800,6170765
2016-08-15,38.5500,38.6500,38.3400,38.4600,4548206
2016-08-12,38.3000,38.6300,38.1000,38.5100,6527984
2016-08-11,38.1900,38.4900,38.1000,38.4600,5999407
2016-08-10,38.0200,38.2450,37.9100,38.0700,5546799
2016-08-09,38.0300,38.1400,37.8800,38.1000,5049127
2016-08-08,38.1900,38.3000,37.6500,37.9100,6101319
2016-08-05,37.5500,38.1500,37.5500,38.1000,7670438
2016-08-04,36.8200,37.3900,36.7300,37.3000,7507761
2016-08-03,36.5900,36.7400,36.2800,36.5800,7663836
2016-08-02,37.0600,37.0852,36.3600,36.5400,5997704
2016-08-01,37.4300,37.4400,36.9000,37.0600,5473949
2016-07-29,37.4100,37.4800,36.8600,37.2400,6850060
2016-07-28,37.4000,37.6800,37.1010,37.2200,5111331
2016-07-27,37.6400,37.6900,37.0450,37.2200,8894242
2016-07-26,37.7800,38.2700,37.6000,37.6900,10279223
2016-07-25,37.7000,38.1800,37.6200,37.7800,16904133
2016-07-22,37.3000,37.5900,36.4300,37.4200,36397318
2016-07-21,40.3300,40.3300,39.6500,40.1300,13363317
2016-07-20,39.4400,40.4500,39.1200,40.0500,11189094
2016-07-19,38.9700,39.4650,38.8300,39.3700,8120130
2016-07-18,39.1300,39.2200,38.7300,38.9200,7877439
2016-07-15,40.0200,40.0700,38.9800,39.0900,8140573
2016-07-14,39.6900,40.0700,39.4000,39.9600,9683504
2016-07-13,38.8400,39.9900,38.8300,39.2800,12458481
2016-07-12,38.4700,38.9100,38.2400,38.7900,10006323
2016-07-11,37.4500,38.3300,37.4000,38.1500,10096189
2016-07-08,36.7800,37.4600,36.6600,37.3600,6828882
2016-07-07,35.9200,36.3900,35.8400,36.3200,7326735
2016-07-06,35.9400,36.1700,35.7150,35.9300,7821280
2016-07-05,36.3000,36.3600,35.8700,36.1200,5321119
2016-07-01,36.6000,36.6700,36.2500,36.3500,7260381
2016-06-30,35.8100,36.5300,35.5900,36.5100,9152990
2016-06-29,35.6900,35.9050,35.2900,35.7700,9520385
2016-06-28,34.4600,35.2500,34.2300,35.2400,12408155
2016-06-27,34.7400,34.7600,34.0000,34.2000,11219538
2016-06-24,35.0000,35.7250,34.6100,35.0800,17647191
2016-06-23,36.2700,36.6650,36.0500,36.6600,4808720
2016-06-22,36.2800,36.4928,35.7800,36.0000,9292358
2016-06-21,36.8000,36.8000,35.9500,36.1600,12816091
2016-06-20,37.2800,37.7600,36.8200,36.8600,7789608
2016-06-17,37.0300,37.1800,36.6300,36.9700,7947873
2016-06-16,36.6200,37.0400,36.3500,36.9700,6106029
2016-06-15,37.1600,37.2198,36.7850,36.8400,7092048
2016-06-14,36.3700,37.2750,36.2500,37.1600,10281933
2016-06-13,36.5000,37.1100,36.4950,36.5400,8215970
2016-06-10,36.8300,37.0500,36.6200,36.7700,7741351
2016-06-09,37.4800,37.5700,37.1100,37.1300,10206706
2016-06-08,37.5300,37.7000,37.0600,37.5500,8667370
2016-06-07,38.0700,38.4800,37.5200,37.5700,6324422
2016-06-06,38.4700,38.4900,37.9800,38.1000,5065932
2016-06-03,38.4400,38.5900,37.8125,38.3300,4986042
2016-06-02,38.4200,38.6850,38.3200,38.5600,4659221
2016-06-01,37.8100,38.4790,37.7100,38.3100,5458457
2016-05-31,37.9600,38.0300,37.5000,37.7900,12231362
2016-05-27,38.0000,38.3450,37.9200,38.0900,5863610
2016-05-26,38.7100,38.7400,38.0000,38.0700,5894744
2016-05-25,38.8700,39.0600,38.5100,38.7600,6561151
2016-05-24,38.2800,39.0050,38.2800,38.9200,7555190
2016-05-23,37.6800,38.2300,37.3900,38.0700,9083796
2016-05-20,37.7900,37.9500,37.4900,37.5300,12497204
2016-05-19,38.8100,38.8800,37.3100,37.6500,17041329
2016-05-18,39.1800,39.3600,38.5000,38.9800,10393509
2016-05-17,39.1000,39.6600,38.7500,39.0650,10746107
2016-05-16,39.3600,39.5300,39.1300,39.3000,10316036
2016-05-13,39.5400,39.8000,39.3100,39.4800,5885930
2016-05-12,39.8500,40.0000,39.1700,39.5100,6323088
2016-05-11,39.5700,40.3143,39.5700,39.7100,5995494
2016-05-10,39.6200,40.1500,39.2400,40.1100,6589127
2016-05-09,39.4200,40.1800,39.3300,39.6200,5860985
2016-05-06,38.7100,39.7000,38.6100,39.4800,6566908
2016-05-05,38.3800,39.1190,38.3200,38.9500,7127183
2016-05-04,38.0700,38.4600,37.8700,38.3100,8121646
2016-05-03,38.6300,38.9700,38.1400,38.3600,9146618
2016-05-02,39.0700,39.2700,38.7300,39.0200,6777514
2016-04-29,39.7100,39.8700,38.5900,39.1800,10001401
2016-04-28,41.0000,41.4900,39.9100,40.0700,17799975
2016-04-27,39.6800,40.1800,39.2000,40.0100,12727635
2016-04-26,39.5700,40.1300,39.3300,39.7300,5271169
2016-04-25,40.2700,40.8400,39.5400,39.8200,7934207
2016-04-22,39.7200,40.6350,39.6800,40.3100,6433904
2016-04-21,40.2000,40.5500,40.0138,40.1000,5539350
2016-04-20,39.2400,40.2400,39.1700,40.0800,7723520
2016-04-19,39.7500,40.0700,38.9750,39.2400,5915827
2016-04-18,38.5600,39.6900,38.4300,39.6400,6433030
2016-04-15,38.6900,38.9500,38.2900,38.5800,5239576
2016-04-14,38.9400,39.0200,38.4150,38.6400,4590156
2016-04-13,38.2500,39.1200,38.1900,38.7900,7082364
2016-04-12,38.3200,38.3200,37.3400,37.8000,7677829
2016-04-11,38.3300,38.8200,38.0300,38.0600,5428928
2016-04-08,38.6100,38.6989,38.1000,38.4100,7822305
2016-04-07,38.8500,38.9400,38.1200,38.2800,7294453
2016-04-06,38.4500,39.1850,38.2500,39.1600,5526193
2016-04-05,38.3500,38.8100,37.7000,38.5500,5364753
2016-04-04,39.3600,39.3800,38.4100,38.7900,5381340
2016-04-01,38.5100,39.4600,38.4000,39.4000,6982014
2016-03-31,38.7400,39.0000,38.4300,38.6000,8086983
2016-03-30,39.9400,40.0399,38.9950,39.0400,5246797
2016-03-29,38.7400,39.7150,38.3000,39.5300,5694000
2016-03-28,38.8100,39.1700,38.6200,38.7400,6192899
2016-03-24,39.4000,39.5100,37.0000,38.9200,15040554
2016-03-23,41.0600,41.3100,40.0400,40.5200,8104680
2016-03-22,40.6700,41.7500,40.6300,41.3200,10552302
2016-03-21,39.4100,41.1700,39.2000,41.1400,13432446
2016-03-18,39.8600,39.8600,38.6900,39.4100,15132391
2016-03-17,39.8500,40.1200,39.1700,39.9300,9789562
2016-03-16,39.0900,39.8900,38.5700,39.8400,6363503
2016-03-15,39.0500,39.6400,39.0500,39.2700,5013862
2016-03-14,39.4000,39.8000,39.0400,39.3800,5299665
2016-03-11,39.0000,39.5300,38.8500,39.4900,9539513
2016-03-10,38.6600,39.3000,37.4800,38.4900,7655723
2016-03-09,38.4800,38.6200,37.8200,38.5700,4990510
2016-03-08,38.6900,38.8800,38.1100,38.1600,5940909
2016-03-07,38.7800,39.4000,38.7202,38.9800,5340266
2016-03-04,38.7700,39.7000,38.7550,39.0400,7200095
2016-03-03,38.9600,39.2400,38.6290,39.0200,7656878
2016-03-02,39.2000,39.9300,38.7000,39.1600,12895941
2016-03-01,38.5200,39.5450,38.0200,39.2500,14085282
2016-02-29,37.4700,38.9300,37.4500,38.1400,23939899
2016-02-26,36.7300,37.5350,36.3700,37.4900,8594979
2016-02-25,36.6700,36.8300,36.1800,36.7400,5209549
2016-02-24,35.2200,36.7500,34.8600,36.4700,8091152
2016-02-23,35.7200,35.9350,35.0200,35.4800,8415202
2016-02-22,36.4500,36.5000,35.8200,36.0000,10476243
2016-02-19,36.0000,36.2350,35.6100,35.7600,9652780
2016-02-18,36.4100,36.5300,35.6600,36.3100,9022079
2016-02-17,35.9800,36.9100,35.8100,36.3600,12070600
2016-02-16,34.6500,35.5200,34.4800,35.4600,9152381
2016-02-12,33.9700,34.4400,33.8100,34.3000,9437119
2016-02-11,32.1200,33.6400,32.0100,33.5200,13170076
2016-02-10,33.6200,33.9400,32.8200,32.9000,8636453
2016-02-09,32.8000,33.8580,31.6400,32.7000,16439154
2016-02-08,34.0000,34.2900,31.9800,33.6100,20628966
2016-02-05,37.1600,37.1600,34.8200,35.0700,16245837
2016-02-04,36.6600,37.2850,36.5400,37.1700,10212258
2016-02-03,36.8700,37.5500,36.0700,37.0100,14543103
2016-02-02,36.5300,37.7700,36.4400,36.8300,17310567
2016-02-01,35.6500,37.3200,35.5900,37.0800,17356043
2016-01-29,34.4900,36.2600,34.3600,36.1400,21201081
2016-01-28,33.6300,34.7500,33.3500,34.2400,20378569
2016-01-27,31.9600,32.6300,31.3800,31.5900,12711682
2016-01-26,31.4900,31.9800,31.3900,31.9700,8616958
2016-01-25,31.9800,31.9800,31.3500,31.4700,7591779
2016-01-22,31.6500,31.9700,31.5400,31.6900,9443981
2016-01-21,31.6100,31.7400,30.9000,31.2000,9978942
2016-01-20,31.4300,31.7000,30.5200,31.2000,13170588
2016-01-19,32.7600,33.1800,31.9300,32.2000,6674703
2016-01-15,31.6200,32.5400,31.6200,32.3100,12174356
2016-01-14,32.1500,33.0400,31.7050,32.8700,7749477
2016-01-13,33.2800,33.5700,31.9700,32.1200,8069449
2016-01-12,33.3500,33.5700,32.6600,33.0800,7853995
2016-01-11,33.0200,33.4300,32.4700,33.0400,8937358
2016-01-08,33.4600,33.8800,32.6300,32.6900,7848846
2016-01-07,33.1500,34.1610,33.0200,33.1300,11041083
2016-01-06,33.7000,34.0100,33.2100,33.9800,8441271
2016-01-05,34.9800,34.9800,33.8600,34.3100,11227717
2016-01-04,35.1300,35.5600,34.2800,34.7500,12287716
2015-12-31,36.3000,36.5000,36.0508,36.2000,4481936
2015-12-30,37.0700,37.2500,36.4600,36.4800,4106713
2015-12-29,36.9200,37.4500,36.7500,37.0800,3436624
2015-12-28,36.7000,37.0000,36.2500,36.6100,4930147
2015-12-24,37.0100,37.2300,36.8200,37.0700,2133437
2015-12-23,36.7900,37.6800,36.7700,37.1100,7579531
2015-12-22,36.1200,36.8900,35.7800,36.8050,6030899
2015-12-21,35.2100,36.1500,35.1100,36.0800,5856044
2015-12-18,35.3500,35.7600,34.7300,34.9800,13745948
2015-12-17,36.0000,36.5800,35.5100,35.5400,6454069
2015-12-16,36.1200,36.2500,35.1900,35.9800,7076271
2015-12-15,35.1900,36.5100,35.1800,36.3200,11709851
2015-12-14,34.6100,35.2226,34.3300,35.0100,5803074
2015-12-11,35.1500,35.3263,34.4200,34.6900,8309205
2015-12-10,35.1600,35.9100,35.1600,35.4900,6949734
2015-12-09,35.3900,35.6000,34.8300,35.0700,7381669
2015-12-08,34.6300,35.7000,34.5200,35.6000,7420819
2015-12-07,35.7100,35.8000,34.8500,35.1600,4917953
2015-12-04,34.3800,35.8200,34.2200,35.6200,10664349
2015-12-03,35.2000,35.2300,33.8501,34.2300,7311905
2015-12-02,35.2300,36.1700,34.9301,35.1500,5762384
2015-12-01,35.4100,35.4100,33.8500,35.1700,14893927
2015-11-30,35.3600,35.4400,34.6900,35.2600,9357310
2015-11-27,35.5200,35.7000,35.0600,35.1800,2550193
2015-11-25,35.2000,35.8600,35.1300,35.3600,3882189
2015-11-24,35.2500,35.3000,34.8800,35.1200,8390058
2015-11-23,36.5000,36.6500,35.4100,35.5600,6960964
2015-11-20,36.4500,36.4500,35.9202,36.3600,4543444
2015-11-19,36.4500,36.5000,35.9100,36.1900,5042281
2015-11-18,36.3200,36.9500,35.7850,36.2200,8323149
2015-11-17,35.8900,36.4500,35.7100,36.2100,7344143
2015-11-16,34.5500,35.6600,34.5300,35.6100,6734488
2015-11-13,35.1800,35.4999,34.5000,34.5300,7364367
2015-11-12,35.9450,36.0500,34.8300,35.5700,11835858
2015-11-11,37.1900,37.3200,35.7500,36.3300,12762469
2015-11-10,36.5800,37.2000,36.5000,37.0000,36384428
2015-11-09,36.1000,36.7400,35.6500,36.6000,11571512
2015-11-06,36.5900,36.7000,35.8000,36.2400,10256842
2015-11-05,37.8200,37.9800,36.6600,36.7100,9068886
2015-11-04,38.4500,38.5200,37.3300,37.6000,12226757
2015-11-03,37.0500,38.4400,37.0000,37.9000,12025221
2015-11-02,35.5800,37.4100,35.4500,36.9900,11254928
2015-10-30,35.6400,36.4900,35.2400,36.0100,13409243
2015-10-29,34.7300,36.5000,34.5000,35.9100,25137251
2015-10-28,36.2100,36.6500,35.8100,36.5200,11634340
2015-10-27,36.3900,36.3941,35.3100,35.9400,8502406
2015-10-26,36.0500,36.5900,35.5150,36.4400,11554647
2015-10-23,35.7300,35.7500,34.8000,34.9900,8909138
2015-10-22,34.4300,35.2500,34.2600,34.7900,8735516
2015-10-21,34.7500,34.8000,32.8800,33.8300,9113873
2015-10-20,34.8000,34.9900,34.5900,34.8700,6084245
2015-10-19,34.4300,34.9050,33.7900,34.8400,5855686
2015-10-16,34.7500,35.0500,33.9500,34.2900,5390718
2015-10-15,34.4500,34.7200,34.1600,34.6200,9103243
2015-10-14,33.4000,34.4600,33.4000,34.0500,8198250
2015-10-13,32.6000,33.4800,32.3399,33.2200,8787712
2015-10-12,32.1900,32.6700,32.1000,32.6300,3915468
2015-10-09,31.6900,32.4500,31.4100,32.0600,5911405
2015-10-08,32.4400,32.4500,31.0900,31.6700,9281454
2015-10-07,32.3100,32.4710,31.5200,32.3800,6969581
2015-10-06,32.9100,32.9100,31.7800,31.8600,7443781
2015-10-05,32.9500,33.0200,32.3800,32.6700,6119068
2015-10-02,30.8200,32.8600,30.7500,32.8300,7609776
2015-10-01,30.8200,31.5870,30.7500,31.4800,9656980
2015-09-30,31.2000,31.2800,30.6400,31.0400,13537262
2015-09-29,32.2700,32.6700,30.3000,30.6300,12008145
2015-09-28,33.6800,33.6800,32.1550,32.2500,7202535
2015-09-25,34.6000,34.6900,33.5000,33.7700,6566750
2015-09-24,34.0000,34.0700,33.3800,33.9100,6544533
2015-09-23,33.4900,34.3400,33.2600,34.1600,5405501
2015-09-22,33.9400,34.1000,33.1899,33.3500,8538006
2015-09-21,33.6600,34.6200,33.4300,34.2500,12736464
2015-09-18,32.9000,33.7800,32.5500,32.9200,16488139
2015-09-17,33.7200,33.9900,33.0800,33.3200,7846799
2015-09-16,33.4600,34.0600,33.3600,33.7700,7183907
2015-09-15,33.7200,33.9500,32.6700,33.8000,11874863
2015-09-14,33.7000,33.9500,33.2000,33.7700,7897681
2015-09-11,33.2700,33.5900,32.6100,33.5500,9184211
2015-09-10,34.2300,34.2900,32.9500,33.4600,12134501
2015-09-09,34.9200,34.9500,33.8800,34.3700,10946887
2015-09-08,34.8100,34.8900,34.2500,34.7000,7674452
2015-09-04,34.7100,34.7200,33.7800,34.2900,7483792
2015-09-03,35.0100,35.4600,34.7700,35.3100,6683814
2015-09-02,34.6000,35.0800,33.8350,35.0700,7521045
2015-09-01,34.2400,34.6800,33.4100,33.7700,13375959
2015-08-31,35.4900,35.5100,34.7700,35.0000,12123766
2015-08-28,34.5100,35.2600,34.3700,35.0400,8344820
2015-08-27,34.0000,34.7700,33.1600,34.6200,18909574
2015-08-26,33.7000,33.8400,31.7100,33.1700,25350364
2015-08-25,35.4400,35.4600,32.7000,32.7000,15557082
2015-08-24,31.1700,34.8500,30.0000,33.7500,19676580
2015-08-21,35.5700,36.1100,33.8300,34.2500,16824144
2015-08-20,36.8500,37.3400,35.8800,35.9800,10645667
2015-08-19,37.8700,38.1000,37.0300,37.1900,6923402
2015-08-18,39.0000,39.0000,37.8700,37.9900,4678847
2015-08-17,38.3000,38.7500,37.7000,38.7300,4931711
2015-08-14,37.4900,38.1800,37.3800,38.1400,6271143
2015-08-13,38.4000,38.4900,37.4400,37.6200,7863525
2015-08-12,38.5500,38.5800,37.0100,38.1900,21366670
2015-08-11,38.9300,39.2800,38.7200,38.8500,8184004
2015-08-10,39.4300,39.6900,38.7701,39.0500,7998929
2015-08-07,39.0400,39.2300,38.6000,39.1300,8331310
2015-08-06,39.6300,39.7400,38.5500,38.8500,7324116
2015-08-05,39.7000,39.8800,39.1700,39.2700,9349565
2015-08-04,39.9100,39.9100,38.4300,38.9500,10992217
2015-08-03,39.2500,39.8800,38.9000,39.3900,15126574
2015-07-31,39.1400,39.2000,38.2199,38.7000,12480580
2015-07-30,38.0400,39.0100,37.7150,38.4500,13845091
2015-07-29,38.0300,38.1000,37.6200,37.9500,11788439
2015-07-28,37.1900,38.0000,36.8296,37.6000,18986016
2015-07-27,36.7800,37.3800,36.2200,36.3900,16179913
2015-07-24,37.7100,38.0000,36.9100,37.0000,14274305
2015-07-23,38.7400,38.7500,36.9300,37.0100,19250154
2015-07-22,39.3500,39.7178,38.1000,38.3900,25380859
2015-07-21,41.0800,41.1100,39.1200,39.3500,32954573
2015-07-20,41.4600,42.5500,39.8000,40.4700,52286509
